SCORE,CATEGORY
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,CRIMINAL JUSTICE
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
1,ARTS ENTERTAINMENT
